num_ronda,jugada_jugador,jugada_oponente
1,piedra,papel
2,piedra,tijera
3,tijera,piedra
4,papel,papel
5,papel,tijera
6,papel,papel
7,papel,tijera
8,piedra,piedra
9,piedra,piedra
10,tijera,papel
11,piedra,piedra
12,piedra,tijera
13,piedra,papel
14,tijera,tijera
15,papel,papel
16,tijera,papel
17,piedra,papel
18,tijera,piedra
19,piedra,tijera
20,tijera,papel
21,tijera,piedra
22,tijera,piedra
23,tijera,papel
24,piedra,tijera
25,piedra,papel
26,tijera,tijera
27,piedra,tijera
28,piedra,tijera
29,papel,papel
30,tijera,tijera
31,piedra,piedra
32,papel,piedra
33,tijera,papel
34,tijera,tijera
35,papel,tijera
36,tijera,tijera
37,piedra,papel
38,piedra,piedra
39,piedra,piedra
40,piedra,papel
41,papel,piedra
42,papel,piedra
43,papel,piedra
44,piedra,piedra
45,tijera,papel
46,piedra,papel
47,piedra,papel
48,tijera,tijera
49,piedra,tijera
50,tijera,piedra
51,piedra,piedra
52,tijera,papel
53,piedra,tijera
54,papel,piedra
55,piedra,papel
56,papel,tijera
57,tijera,tijera
58,piedra,tijera
59,tijera,tijera
60,tijera,piedra
61,papel,papel
62,piedra,papel
63,piedra,tijera
64,papel,tijera
65,tijera,tijera
66,tijera,piedra
67,tijera,papel
68,piedra,tijera
69,piedra,papel
70,tijera,piedra
71,tijera,piedra
72,papel,papel
73,piedra,papel
74,piedra,tijera
75,papel,tijera
76,tijera,papel
77,piedra,piedra
78,tijera,piedra
79,piedra,papel
80,papel,piedra
81,tijera,papel
82,tijera,piedra
83,piedra,tijera
84,papel,tijera
85,tijera,piedra
86,papel,piedra
87,papel,piedra
88,piedra,papel
89,tijera,piedra
90,papel,papel
91,tijera,piedra
92,piedra,piedra
93,tijera,piedra
94,piedra,tijera
95,papel,papel
96,papel,tijera
97,tijera,piedra
98,piedra,piedra
99,papel,piedra
100,piedra,papel
101,tijera,tijera
102,tijera,papel
103,piedra,tijera
104,piedra,piedra
105,tijera,piedra
106,tijera,tijera
107,tijera,tijera
108,papel,piedra
109,tijera,papel
110,piedra,tijera
111,tijera,piedra
112,piedra,piedra
113,tijera,piedra
114,papel,piedra
115,piedra,papel
116,papel,tijera
117,tijera,papel
118,papel,papel
119,papel,papel
120,piedra,papel
121,piedra,tijera
122,tijera,piedra
123,tijera,piedra
124,tijera,papel
125,piedra,tijera
126,papel,piedra
127,piedra,papel
128,papel,papel
129,piedra,tijera
130,tijera,papel
131,papel,tijera
132,piedra,tijera
133,tijera,piedra
134,piedra,piedra
135,tijera,papel
136,tijera,papel
137,piedra,tijera
138,tijera,tijera
139,piedra,tijera
140,piedra,piedra
141,papel,piedra
142,tijera,piedra
143,papel,piedra
144,papel,piedra
145,piedra,piedra
146,tijera,piedra
147,piedra,papel
148,papel,piedra
149,papel,piedra
150,tijera,piedra
151,piedra,papel
152,piedra,papel
153,tijera,tijera
154,piedra,papel
155,tijera,piedra
156,piedra,piedra
157,piedra,tijera
158,piedra,piedra
159,tijera,papel
160,piedra,piedra
161,tijera,piedra
162,piedra,tijera
163,papel,tijera
164,piedra,tijera
165,papel,papel
166,tijera,papel
167,piedra,piedra
168,tijera,papel
169,piedra,piedra
170,piedra,piedra
171,tijera,piedra
172,piedra,tijera
173,piedra,piedra
174,papel,piedra
175,piedra,papel
176,tijera,papel
177,tijera,papel
178,piedra,piedra
179,tijera,tijera
180,piedra,piedra
181,papel,piedra
182,piedra,papel
183,tijera,papel
184,tijera,piedra
185,piedra,tijera
186,piedra,piedra
187,tijera,papel
188,tijera,tijera
189,papel,tijera
190,piedra,papel
191,tijera,piedra
192,papel,piedra
193,piedra,tijera
194,papel,tijera
195,tijera,papel
196,piedra,piedra
197,piedra,tijera
198,tijera,piedra
199,tijera,papel
200,papel,tijera
201,papel,tijera
202,papel,tijera
203,piedra,tijera
204,papel,piedra
205,papel,papel
206,tijera,piedra
207,papel,papel
208,papel,piedra
209,papel,piedra
210,papel,piedra
211,piedra,piedra
212,tijera,papel
213,papel,papel
214,papel,piedra
215,papel,tijera
216,papel,tijera
217,piedra,tijera
218,papel,tijera
219,papel,tijera
220,piedra,tijera
221,papel,piedra
222,papel,piedra
223,tijera,papel
224,tijera,tijera
225,papel,piedra
226,papel,piedra
227,papel,papel
228,tijera,piedra
229,piedra,piedra
230,tijera,tijera
231,papel,tijera
232,tijera,tijera
233,papel,tijera
234,tijera,tijera
235,papel,tijera
236,tijera,papel
237,papel,piedra
238,papel,piedra
239,piedra,piedra
240,tijera,piedra
241,papel,tijera
242,papel,tijera
243,piedra,papel
244,tijera,papel
245,papel,piedra
246,papel,piedra
247,tijera,tijera
248,papel,tijera
249,tijera,papel
250,papel,piedra
251,papel,tijera
252,papel,tijera
253,piedra,tijera
254,papel,papel
255,papel,piedra
256,papel,piedra
257,papel,papel
258,tijera,tijera
259,papel,tijera
260,tijera,tijera
261,papel,tijera
262,tijera,papel
263,papel,papel
264,papel,piedra
265,papel,piedra
266,papel,tijera
267,papel,papel
268,tijera,piedra
269,papel,piedra
270,papel,piedra
271,papel,piedra
272,piedra,tijera
273,tijera,tijera
274,papel,papel
275,papel,papel
276,tijera,papel
277,papel,piedra
278,papel,piedra
279,piedra,tijera
280,tijera,tijera
281,papel,tijera
282,tijera,papel
283,papel,papel
284,papel,tijera
285,papel,tijera
286,piedra,piedra
287,tijera,piedra
288,papel,piedra
289,papel,piedra
290,piedra,papel
291,papel,papel
292,papel,tijera
293,papel,tijera
294,piedra,tijera
295,papel,tijera
296,papel,papel
297,tijera,tijera
298,papel,tijera
299,tijera,piedra
300,tijera,piedra
301,papel,piedra
302,piedra,piedra
303,papel,tijera
304,papel,tijera
305,piedra,tijera
306,papel,papel
307,papel,papel
308,tijera,papel
309,papel,piedra
310,papel,piedra
311,piedra,papel
312,papel,tijera
313,piedra,tijera
314,papel,tijera
315,papel,papel
316,tijera,papel
317,papel,piedra
318,papel,tijera
319,papel,papel
320,tijera,tijera
321,papel,papel
322,papel,papel
323,tijera,piedra
324,piedra,papel
325,tijera,papel
326,papel,papel
327,papel,piedra
328,piedra,piedra
329,tijera,tijera
330,papel,tijera
331,tijera,tijera
332,papel,papel
333,papel,piedra
334,papel,piedra
335,papel,piedra
336,piedra,papel
337,papel,tijera
338,piedra,tijera
339,papel,papel
340,papel,papel
341,tijera,papel
342,papel,tijera
343,tijera,tijera
344,papel,tijera
345,tijera,tijera
346,papel,tijera
347,tijera,papel
348,papel,piedra
349,papel,piedra
350,piedra,papel
